14	42      marr
29	44      marr
8	26      marr
2	42      marr
6	39      marr
21	34      vapnik
35	37      vapnik
4	22      vapnik
10	17      vapnik
16	48      vapnik
9	35      vapnik
13	31      vapnik
35	39      vapnik
10	18      vapnik
12	33
2	24
46	48
33	36
10	32
4	40
39	45
15	33
5	45
28	33
0	43
1	46
25	28
20	32
12	36
5	11
11	17
23	46
30	40
14	48
9	17
20	34
12	38
20	26
31	42
7	48
0	6
22	27
24	45
6	35
15	38
1	45
25	38
3	38
3	21
8	14
26	32
0	44
28	46
4	43
1	13
2	25
27	28
17	25
26	33
14	30
1	48
19	22
30	36
2	5
35	47
39	42
6	24
4	46
16	22
28	29
4	14
22	32
15	36
24	41
26	27
12	42
4	13
13	34
37	41
1	5
14	16
18	27
17	31
32	34
40	49
2	8
29	49
24	48
14	39
12	24
0	39
12	19
3	26
22	40
34	35
9	34
6	46
24	49
3	15
3	42
15	45
8	33
5	49
6	43
9	33
2	9
11	22
3	37
10	29
13	49
36	41
39	41
19	49
3	33
17	37
21	35
7	36
3	19
26	28
28	32
25	29
29	32
1	9
33	47
1	19
7	9
39	48
26	48
7	24
3	46
14	21
34	48
24	37
11	44
5	47
36	47
14	19
11	20
19	34
20	24
21	47
4	8
5	9
9	37
34	39
20	22
6	26
34	45
19	26
1	26
9	21
6	10
37	48
5	25
10	46
27	36
3	11
16	49
6	40
40	42
6	8
4	39
12	18
2	36
13	30
7	27
10	43
28	43
10	33
37	45
27	29
12	28
12	43
24	35
7	25
28	40
21	44
4	24
8	20
6	21
6	15
7	8
0	15
28	36
4	37
16	26
3	5
17	40
16	23
3	29
38	44
11	39
9	18
0	19
22	44
27	30
18	44
14	45
4	17
20	33
